Scene number,Start,End,Keywords,Description
0,00:00:00.000,01:00:14.960,"thành phố Hồ Chí Minh,quý vị,Trung Quốc,Trung ương Đảng,rau củ,giá đất,năm 2022,giá thị trường,Tết,chuyến xe,Malaysia,thành phố Thủ Đức,Nga,Thành phố Hồ Chí Minh,Hội Liên hiệp Phụ nữ thành phố Hồ Chí Minh,Indonesia,Giáo hội Phật giáo Việt Nam,thực phẩm màu,Anhq,bưởi da,năm 2023,đồng chí Nguyễn Văn Nên,Chủ tịch Quốc hội Vương Đình Huệ,sản phẩm nông nghiệp,dịch Covid,,rau củ màu,bà con ngư dân,kinh tế xã hội,Bí thư Thành ủy thành phố Hồ Chí Minh", 
1,00:00:00.000,00:07:56.240, ,à
2,00:07:56.240,00:08:05.600, ,"xin kính chào quý vị, Kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài Truyền hình thành phố Hồ Chí Minh hôm nay thứ Hai ngày 9/1/2023."
3,00:08:05.600,00:08:13.560, ,"xin kính chào quý vị, Kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài Truyền hình thành phố Hồ Chí Minh hôm nay thứ Hai ngày 9/1/2023."
4,00:08:13.560,00:08:33.520,"thành phố Hồ Chí Minh thăm,Tết,Quý Mão",Chương trình ngày hôm nay sẽ có một số nội dung đáng chú ý sau đây:
5,00:08:33.520,00:08:38.360,"thành phố Hồ Chí Minh thăm,Tết,Quý Mão","lãnh đạo thành phố Hồ Chí Minh thăm, chúc Tết nhiều cá nhân, đơn vị trước thềm xuống Quý Mão 2023"
6,00:08:38.360,00:08:42.920,chuyến xe,cần bổ sung nhiều quy định trong Luật Đất đai sửa đổi
7,00:08:42.920,00:08:48.760, ,nhiều chuyến xe đoàn viên khởi hành đưa sinh viên về quê đón Tết
8,00:08:48.760,00:08:52.920,chuyến xe,nhiều chuyến xe đoàn viên khởi hành đưa sinh viên về quê đón Tết
9,00:08:52.920,00:08:57.240,"Chủ tịch nước Nguyễn Xuân Phúc,Chủ tịch Quốc hội Vương Đình Huệ,đồng chí lãnh đạo,lãnh đạo Đảng,quý vị,Chính phủ Phạm Minh,lần thứ 2 Quốc hội khóa 15,phiên bế mạc Kỳ họp Tổng Bí thư Nguyễn Phú Trọng","thưa quý vị, sau 4 ngày làm việc với tinh thần tích cực, dân chủ, trí tuệ, trách nhiệm cao, vào chiều nay, kỳ họp bất thường lần thứ 2 Quốc hội khóa 15 đã hoàn thành chương trình đề ra tham dự phiên bế mạc Kỳ họp có Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước Nguyễn Xuân Phúc, Thủ tướng Chính phủ Phạm Minh Chính, Chủ tịch Quốc hội Vương Đình Huệ cùng các đồng chí lãnh đạo, nguyên lãnh đạo Đảng, Nhà nước"
