Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:52:55.000,"thành phố Hồ Chí Minh,Nhật Bản,Trung Quốc,quý vị,Ấn Độ,Covid,năm 2023,chất hướng thần,Việt Nam,Nga,Pháp,đồng yen,Australia xuất trình kết quả xét nghiệm âm tính,chính phủ Ấn Độ,Hà Giang,địa đạo Củ Chi,năm 2022,ngày 5/1,ruồi lính,năm 2030,HTV,lợi suất trái phiếu,Hàn Quốc,Ukraine,Mỹ,,Tổng thống Ukraine,dân tộc Việt Nam,Trung ương Đảng,kính chào quý vị", 
1,00:00:00.000,00:04:24.240, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay chủ nhật ngày 1/1/2023."
2,00:04:24.240,00:04:33.360, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay chủ nhật ngày 1/1/2023."
3,00:04:33.360,00:04:41.320, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay chủ nhật ngày 1/1/2023."
4,00:04:41.320,00:05:04.320,Hồ Chí Minh tuyên dương,Chương trình ngày hôm nay sẽ có một số nội dung đáng chú ý sau đây:
5,00:05:04.320,00:05:08.880,ngày đầu năm 2023,thành phố Hồ Chí Minh tuyên dương 12 công dân trẻ tiêu biểu năm 2022
6,00:05:08.880,00:05:13.600,ngày đầu năm 2023,đón gần 500 du khách quốc tế ngày đầu năm 2023: Bớt hiệu nhiều tín hiệu tích cực cho du lịch thành phố Hồ Chí Minh
7,00:05:13.600,00:05:20.560,"Tết Dương lịch 2023,thành phố Hồ Chí Minh vui chơi","đón Tết Dương lịch 2023, Nhiều người dân thành phố Hồ Chí Minh chọn vui chơi tại thành phố"
8,00:05:20.560,00:05:25.440,"Tết Dương lịch 2023,thành phố Hồ Chí Minh vui chơi","đón Tết Dương lịch 2023, Nhiều người dân thành phố Hồ Chí Minh chọn vui chơi tại thành phố"
9,00:05:25.440,00:05:30.000,"Thành đoàn thành phố Hồ Chí Minh tổ chức chương trình tuyên dương công dân,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh,Bí thư Trung ương Đoàn,Bí thư Thường trực,thành phố Hồ Chí Minh,Đồng chí Nguyễn Minh Triết,Đồng chí Nguyễn Thị Lệ,đồng chí Nguyễn Văn Hiếu,Ủy viên Chính trị,đồng chí Phan Văn Mãi,đồng chí Nguyễn Văn Nên,Chủ tịch Hội đồng nhân dân Thành phố Hồ Chí Minh,Bí thư Thành ủy Thành phố Hồ Chí Minh,Bí thư Thành ủy thành phố Hồ Chí Minh,quý vị,Bí thư Thành ủy,Trung ương Đảng","thưa quý vị, sáng nay, Thành đoàn thành phố Hồ Chí Minh tổ chức chương trình tuyên dương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022."
10,00:05:30.000,00:05:34.200, ,"thưa quý vị, sáng nay, Thành đoàn thành phố Hồ Chí Minh tổ chức chương trình tuyên dương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022."
11,00:05:34.200,00:05:38.600, ,"thưa quý vị, sáng nay, Thành đoàn thành phố Hồ Chí Minh tổ chức chương trình tuyên dương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022."
12,00:05:38.600,00:05:42.800, ,"thưa quý vị, sáng nay, Thành đoàn thành phố Hồ Chí Minh tổ chức chương trình tuyên dương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022."
13,00:05:42.800,00:06:19.960,"tên Bác Hồ kính yêu,thành phố Hồ Chí Minh ngày mai trí tuệ,dân tộc Việt Nam,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,Lãnh đạo thành phố,thành phố Hồ Chí Minh năm 2022 đại diện,thành phố Hồ Chí Minh,112 hồ sơ,công dân trẻ,Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,thanh niên thành phố,Thay mặt lãnh đạo thành phố,cuộc sống bình yên,ý chí nghị lực,trách nhiệm giám nghị,địa bàn thành phố,gương công dân,Hội đồng bình chọn","Tham dự chương trình và chúc mừng những công dân trẻ tiêu biểu của Thành phố có đồng chí Nguyễn Văn Nên, Ủy viên Bộ Chính trị, Bí thư Thành ủy Thành phố Hồ Chí Minh, đồng chí Phan Văn Mãi, Ủy viên Trung ương Đảng, Phó Bí thư Thường trực Thành ủy, Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh, đồng chí Nguyễn Văn Hiếu, Ủy viên dự khuyết Trung ương Đảng, Phó Bí thư Thành ủy thành phố Hồ Chí Minh, Đồng chí Nguyễn Thị Lệ, Phó Bí thư Thành ủy, Chủ tịch Hội đồng nhân dân Thành phố Hồ Chí Minh, Đồng chí Nguyễn Minh Triết, Bí thư Trung ương Đoàn, Chủ tịch Hội Sinh viên Việt Nam"
