Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:50:20.000,"Phan Thiết,thành phố Hồ Chí Minh,Mỹ,Trung Quốc,năm 2022,thủ tục hành chính,,quý vị,Xuân Mậu Thân,Nga,dịp Tết,U cai,Myanmar,Pháp,FDA,Trung ương Đảng,Tết,kính chào quý vị,giỏ quà,vách đá,tình hình dịch Covid,tour tuyến,lãnh đạo thành phố Hồ Chí Minh,quà Tết,Hạ viện Mỹ,ngày 3/1,khu vực phía Nam,năm 2023,miền Trung,miền Nam", 
1,00:00:00.000,00:00:36.560, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
2,00:00:36.560,00:00:41.000, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
3,00:00:41.000,00:00:47.400, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
4,00:00:47.400,00:00:55.400, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
5,00:00:55.400,00:01:15.240,"thành phố Hồ Chí Minh Nguyễn Văn Ninh thăm,bà con huyện Đức Trọng",Chương trình tối nay thứ Tư ngày 4/1/2023 sẽ có những nội dung chính sau đây:
6,00:01:15.240,00:01:19.600,"thành phố Hồ Chí Minh Nguyễn Văn Ninh thăm,bà con huyện Đức Trọng","Bí thư Thành ủy thành phố Hồ Chí Minh Nguyễn Văn Ninh thăm, chúc Tết và tặng quà cho bà con huyện Đức Trọng, tỉnh Lâm Đồng"
7,00:01:19.600,00:01:25.640,"dịp Tết,kỳ vọng nhu cầu dịp Tết,lễ hội Xuân Hồng 2023,Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện",thành phố Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện dịp Tết và lễ hội Xuân Hồng 2023 lần đầu tiên á.
8,00:01:25.640,00:01:30.400,"dịp Tết,kỳ vọng nhu cầu dịp Tết,lễ hội Xuân Hồng 2023,Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện",thành phố Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện dịp Tết và lễ hội Xuân Hồng 2023 lần đầu tiên á.
9,00:01:30.400,00:01:37.320,"dịp Tết,kỳ vọng nhu cầu dịp Tết,lễ hội Xuân Hồng 2023,Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện",thành phố Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện dịp Tết và lễ hội Xuân Hồng 2023 lần đầu tiên á.
10,00:01:37.320,00:01:43.240,"dịp Tết,kỳ vọng nhu cầu dịp Tết,lễ hội Xuân Hồng 2023,Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện",thành phố Hồ Chí Minh phát động chiến dịch vận động hiến máu tình nguyện dịp Tết và lễ hội Xuân Hồng 2023 lần đầu tiên á.
11,00:01:43.240,00:01:48.160,",điểm cầu thành phố Hồ Chí Minh đồng chí Nguyễn Văn Hiếu, Trưởng Ban Nội chính Trung ương,đồng chí Võ Văn Thưởng,Đảng Trung ương,Ban Nội chính Trung ương,Trung ương Đảng, Thường trực Ban Bí thư ,đồng chí Ủy viên Chính trị,Ủy viên Chính trị,Bí thư Thành ủy, Phan Đình Trạc,Hội nghị trực tuyến toàn quốc tổng kết công tác ngành Đồ Chính Đảng,Chính trị ","Lần thứ 7 thì nó bình thường, nhưng mà thật sự ra hiến máu thì xuất khẩu sẽ tốt hơn."
12,00:01:48.160,00:02:23.160,"thành tích ngành Nội chính Đảng, đồng chí Võ Văn Thưởng,Hội nghị ,lĩnh vực chuyên môn,diện Ban Chỉ đạo,Ngành Nội chiến Đảng,hiệu quả Nghị quyết số 27 ngày 9/11/2012,năm 2022,hiệu quả công tác,63 vụ án,ngành Nội chính Đảng,án dân sự,tài sản tham nhũng","Doanh nghiệp du lịch kỳ vọng nhu cầu dịp Tết cao hơn năm ngoái, khoảng 30 - 40 phần trăm."
13,00:02:23.160,00:02:28.360,"thành tích ngành Nội chính Đảng, đồng chí Võ Văn Thưởng,Hội nghị ,lĩnh vực chuyên môn,diện Ban Chỉ đạo,Ngành Nội chiến Đảng,hiệu quả Nghị quyết số 27 ngày 9/11/2012,năm 2022,hiệu quả công tác,63 vụ án,ngành Nội chính Đảng,án dân sự,tài sản tham nhũng",a
14,00:02:28.360,00:02:34.000,"thành tích ngành Nội chính Đảng, đồng chí Võ Văn Thưởng,Hội nghị ,lĩnh vực chuyên môn,diện Ban Chỉ đạo,Ngành Nội chiến Đảng,hiệu quả Nghị quyết số 27 ngày 9/11/2012,năm 2022,hiệu quả công tác,63 vụ án,ngành Nội chính Đảng,án dân sự,tài sản tham nhũng","Sáng nay, Ban Nội chính Trung ương đã tổ chức Hội nghị trực tuyến toàn quốc tổng kết công tác ngành Đồ Chính Đảng năm 2022, triển khai nhiệm vụ công tác năm 2023."
