Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:53:00.040,"thuốc lá điện tử,Mỹ,thành phố Hồ Chí Minh,Xuân Mậu Thân,Bảo Lộc,Liên Hiệp Quốc,Đức,Trung Quốc,Indonesia,,Việt Nam,Washington,Nga,Chủ tịch Hồ Chí Minh,kính thưa quý vị,quý vị,năm 2023,ngân sách nhà nước,truyền thống vẻ vang,bà con kiều bào,xương khớp,vé xe,người Việt Nam,dịch Covid,Tượng đài Chủ tịch Hồ Chí Minh,Ngoại giao Mỹ,Tết,Nhật Bản,thành phố Chí Minh,Ukraine", 
1,00:00:00.000,00:04:03.160, ,"xin kính chào quý vị, Kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ sáu ngày 6/1/2023."
2,00:04:03.160,00:04:07.400, ,"xin kính chào quý vị, Kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ sáu ngày 6/1/2023."
3,00:04:07.400,00:04:13.800, ,"xin kính chào quý vị, Kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ sáu ngày 6/1/2023."
4,00:04:13.800,00:04:21.800, ,"xin kính chào quý vị, Kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ sáu ngày 6/1/2023."
5,00:04:21.800,00:04:39.120,"Xuân Mậu Thân,Hồ Chí Minh họp mặt truyền thống kỷ niệm",Chương trình sẽ có những nội dung chính sau đây:
6,00:04:39.120,00:04:43.360,"Xuân Mậu Thân,Hồ Chí Minh họp mặt truyền thống kỷ niệm",thành phố Hồ Chí Minh họp mặt truyền thống kỷ niệm 55 năm cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968
7,00:04:43.360,00:04:49.400,"nước ngoài mừng Xuân Quý Mão,ngày 6,người Việt Nam,ngày 6 7/1",chương trình họp mặt người Việt Nam ở nước ngoài mừng Xuân Quý Mão diễn ra ngày 6 và ngày 6 7/1 tại thành phố Hồ Chí Minh.
8,00:04:49.400,00:04:54.400,"nước ngoài mừng Xuân Quý Mão,ngày 6,người Việt Nam,ngày 6 7/1",chương trình họp mặt người Việt Nam ở nước ngoài mừng Xuân Quý Mão diễn ra ngày 6 và ngày 6 7/1 tại thành phố Hồ Chí Minh.
9,00:04:54.400,00:05:00.400,"Tết,kính thưa quý vị,ngày làm việc thứ hai,tổng thể quốc gia thời kỳ",nhiều hoạt động chăm lo Tết cho sinh viên khó khăn
10,00:05:00.400,00:05:04.560, ,"kính thưa quý vị, sáng nay, kỳ họp bất thường lần thứ hai Quốc hội khóa 15 bước sang ngày làm việc thứ hai với phiên thảo luận tại tổ, dành nhiều thời gian cho ý kiến về dự thảo Quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050."
11,00:05:04.560,00:05:21.160,"Việt Nam,cơ sở dữ liệu đất đai,nguồn lực công dân,cơ sở dữ liệu lập quy hoạch hiện,Ban soạn thảo,cơ sở dữ liệu,Chí Minh,Đoàn đại biểu Quốc hội,năm 2045 thu nhập,Nguyễn Xuân Phúc,yếu tố khoa học công nghệ,quy hoạch quốc gia,kinh tế mũi nhọn,thành phố Hồ Chí Minh,Luật quy hoạch,quy hoạch chiến lược quốc gia,thành phố Chí Minh","Tại Tổ thảo luận, Đoàn đại biểu Quốc hội thành phố Hồ Chí Minh cho ý kiến về dự thảo."
12,00:05:21.160,00:05:29.160,"Nguyễn Xuân Phúc,Việt Nam,yếu tố khoa học công nghệ,cơ sở dữ liệu đất đai,quy hoạch quốc gia,cơ sở dữ liệu,Chí Minh,nguồn lực công dân,kinh tế mũi nhọn,thành phố Hồ Chí Minh,Luật quy hoạch,cơ sở dữ liệu lập quy hoạch hiện,Ban soạn thảo,quy hoạch chiến lược quốc gia,Đoàn đại biểu Quốc hội,năm 2045 thu nhập,thành phố Chí Minh","Tại Tổ thảo luận, Đoàn đại biểu Quốc hội thành phố Hồ Chí Minh cho ý kiến về dự thảo."
13,00:05:29.160,00:05:35.120,"Nguyễn Xuân Phúc,Việt Nam,yếu tố khoa học công nghệ,cơ sở dữ liệu đất đai,quy hoạch quốc gia,cơ sở dữ liệu,Chí Minh,nguồn lực công dân,kinh tế mũi nhọn,thành phố Hồ Chí Minh,Luật quy hoạch,cơ sở dữ liệu lập quy hoạch hiện,Ban soạn thảo,quy hoạch chiến lược quốc gia,Đoàn đại biểu Quốc hội,năm 2045 thu nhập,thành phố Chí Minh","Tại Tổ thảo luận, Đoàn đại biểu Quốc hội thành phố Hồ Chí Minh cho ý kiến về dự thảo."
14,00:05:35.120,00:05:41.120,"Nguyễn Xuân Phúc,Việt Nam,yếu tố khoa học công nghệ,cơ sở dữ liệu đất đai,quy hoạch quốc gia,cơ sở dữ liệu,Chí Minh,nguồn lực công dân,kinh tế mũi nhọn,thành phố Hồ Chí Minh,Luật quy hoạch,cơ sở dữ liệu lập quy hoạch hiện,Ban soạn thảo,quy hoạch chiến lược quốc gia,Đoàn đại biểu Quốc hội,năm 2045 thu nhập,thành phố Chí Minh","Tại Tổ thảo luận, Đoàn đại biểu Quốc hội thành phố Hồ Chí Minh cho ý kiến về dự thảo."
15,00:05:41.120,00:05:47.360,"Nguyễn Xuân Phúc,Việt Nam,yếu tố khoa học công nghệ,cơ sở dữ liệu đất đai,quy hoạch quốc gia,cơ sở dữ liệu,Chí Minh,nguồn lực công dân,kinh tế mũi nhọn,thành phố Hồ Chí Minh,Luật quy hoạch,cơ sở dữ liệu lập quy hoạch hiện,Ban soạn thảo,quy hoạch chiến lược quốc gia,Đoàn đại biểu Quốc hội,năm 2045 thu nhập,thành phố Chí Minh","Tại Tổ thảo luận, Đoàn đại biểu Quốc hội thành phố Hồ Chí Minh cho ý kiến về dự thảo."
