Scene number,Start,End,Keywords,Description
0,00:00:00.000,01:13:55.040,"thành phố Hồ Chí Minh,Việt Nam,Mỹ,Trung Quốc,người Việt Nam,thành phố Thủ Đức,Nghị quyết số 30,Covid,Ukraine,đất đai thành phố Thủ Đức,Makati,Tổ quốc Việt Nam thành phố Hồ Chí Minh,địa bàn huyện Củ Chi,Đà Nẵng,,cộng đồng người Việt Nam,Nga,kính chào quý vị,kinh tế xã hội,lãnh đạo thành phố,dịp Tết,chương trình Hạt gạo,Chi nhánh Văn phòng,Tết,quý vị,quân sự nước ngoài,địa bàn thành phố,không khí xuân,Mặt trận Tổ quốc,kháng lực", 
1,00:00:00.000,00:01:53.600, ,"kính chào quý vị, Mời quý vị theo dõi chương trình Thời sự của Đài truyền hình thành phố Hồ Chí Minh, chương trình tối nay thứ 7 ngày 7/1/2023 sẽ có một số nội dung chính sau đây:"
2,00:01:53.600,00:02:04.120, ,"kính chào quý vị, Mời quý vị theo dõi chương trình Thời sự của Đài truyền hình thành phố Hồ Chí Minh, chương trình tối nay thứ 7 ngày 7/1/2023 sẽ có một số nội dung chính sau đây:"
3,00:02:04.120,00:02:12.080, ,"kính chào quý vị, Mời quý vị theo dõi chương trình Thời sự của Đài truyền hình thành phố Hồ Chí Minh, chương trình tối nay thứ 7 ngày 7/1/2023 sẽ có một số nội dung chính sau đây:"
4,00:02:12.080,00:02:31.000,"thành phố Thủ Đức nộp,hồ sơ đất đai,Covid,quy hoạch tổng thể quốc gia,chính sách phòng","hôm nay Quốc hội thảo luận về quy hoạch tổng thể quốc gia và việc chuyển tiếp một số chính sách phòng, chống Covid 19."
5,00:02:31.000,00:02:35.600,"hồ sơ đất đai,Covid,thành phố Thủ Đức nộp,quy hoạch tổng thể quốc gia,chính sách phòng","hôm nay Quốc hội thảo luận về quy hoạch tổng thể quốc gia và việc chuyển tiếp một số chính sách phòng, chống Covid 19."
6,00:02:35.600,00:02:40.800,"hồ sơ đất đai,Covid,thành phố Thủ Đức nộp,quy hoạch tổng thể quốc gia,chính sách phòng","hôm nay Quốc hội thảo luận về quy hoạch tổng thể quốc gia và việc chuyển tiếp một số chính sách phòng, chống Covid 19."
7,00:02:40.800,00:02:45.720,"hồ sơ đất đai,Covid,thành phố Thủ Đức nộp,quy hoạch tổng thể quốc gia,chính sách phòng","hôm nay Quốc hội thảo luận về quy hoạch tổng thể quốc gia và việc chuyển tiếp một số chính sách phòng, chống Covid 19."
8,00:02:45.720,00:02:50.080,"đường Mai Vàng,dân thành phố,Đồ thu hút","Từ hôm nay, người dân thành phố Thủ Đức nộp và nhận hồ sơ đất đai tại 1 điểm thay vì 3 điểm như trước đây."
9,00:02:50.080,00:02:54.240,"quý vị,tổng thể quốc gia,quy hoạch thành phần,Quy hoạch tổng thể quốc gia thời kỳ,kinh tế xã hội","đường Mai Vàng, phố Ông Đồ thu hút đông đảo người dân thành phố đến nơi cần cuối tuần."
