Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:55:25.040,"Trung Quốc,năm 2023,thành phố Hồ Chí Minh,Mỹ,Việt Nam,Hàn Quốc,quý vị,năm 2030,khoa học công nghệ,,bò sữa,Đồng Tháp,dịp Tết,dân thành phố,ca khúc truyền thống cách mạng,kính thưa quý vị,năm 2045,nhà đầu tư nước ngoài,giai đoạn đầu,mặt hàng bình ổn,thịt bò,chính quyền Hongkong,Afghanistan,ngày 1/1,Caracas,năm 2022,Nga,độ bảy,kinh tế xã hội,kính chào quý vị", 
1,00:00:00.000,00:05:16.200, ,"xin kính chào quý vị, kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ Hai ngày 2/1/2023."
2,00:05:16.200,00:05:20.800, ,"xin kính chào quý vị, kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ Hai ngày 2/1/2023."
3,00:05:20.800,00:05:27.200, ,"xin kính chào quý vị, kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ Hai ngày 2/1/2023."
4,00:05:27.200,00:05:35.200, ,"xin kính chào quý vị, kính mời quý vị bắt đầu theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ Hai ngày 2/1/2023."
5,00:05:35.200,00:05:54.440,"năm 2030,thành phố Hồ Chí Minh,năm 2045",Chương trình sẽ có những nội dung chính sau đây:
6,00:05:54.440,00:05:58.920,"năm 2030,thành phố Hồ Chí Minh,năm 2045","Bộ Chính trị ban hành Nghị quyết 31 về phương hướng, nhiệm vụ phát triển thành phố Hồ Chí Minh đến năm 2030, tầm nhìn đến năm 2045, doanh nghiệp, chuyên gia góp ý Quy chế triển khai bình ổn thị trường giai đoạn 15 tiếp theo"
7,00:05:58.920,00:06:03.920,"năm 2030,thành phố Hồ Chí Minh,năm 2045","Bộ Chính trị ban hành Nghị quyết 31 về phương hướng, nhiệm vụ phát triển thành phố Hồ Chí Minh đến năm 2030, tầm nhìn đến năm 2045, doanh nghiệp, chuyên gia góp ý Quy chế triển khai bình ổn thị trường giai đoạn 15 tiếp theo"
8,00:06:03.920,00:06:08.520,"chất lượng công tác,khoa học công nghệ,văn hóa xã hội,thành phố Hồ Chí Minh thành phố văn minh,Mỹ,ngày 30/12,Start-up,năm 2030,thay mặt Bộ Chính trị ,kinh tế trọng điểm phía Nam,chất lượng cuộc sống,nhân lực chất lượng,Nghị quyết số 16 enq,thành phố dịch vụ, Tổng Bí thư Nguyễn Phú Trọng,trung tâm kinh tế,DRDP,khóa 11,hội nhập quốc tế sâu rộng,năm 2045,Nghị quyết 31,thành phố Hồ Chí Minh,biến đổi khí hậu,sức khỏe nhân dân,kính thưa quý vị,nhân dân thành phố Hồ Chí Minh,con người thành phố văn minh","giao thông thông thoáng trong ngày, người dân trở lại thành phố sau Tết nên định."
9,00:06:08.520,00:06:13.240, ,"giao thông thông thoáng trong ngày, người dân trở lại thành phố sau Tết nên định."
10,00:06:13.240,00:06:17.400, ,2023
