Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:55:37.040,"thành phố Hồ Chí Minh,,quý vị,Mỹ,Hàn Quốc,Bắc Kinh,Đài Truyền hình thành phố Hồ Chí Minh,Xuân Mậu Thân,chợ hoa,lá giềng,tuyến đường,Liên Hiệp Quốc,đại dịch Covid,đồng chí Dương Linh,Biển Đen,gia đình chính sách,Hồ Chí Minh,Trung Quốc,công nhân môi trường đô thị,Việt Nam,năm 2022,tổ công tác,đồng chí Tổng Bí thư,xe khách giường,Huy hiệu 75 năm tuổi Đảng,Ủy ban nhân dân thành phố Hồ Chí Minh,dịch Covid,Đồn Biên phòng Cần Thạnh,huyện Củ Chi,Củ Chi", 
1,00:00:00.000,00:05:09.000, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
2,00:05:09.000,00:05:13.640, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
3,00:05:13.640,00:05:20.120, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
4,00:05:20.120,00:05:28.040, ,"kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự của Đài truyền hình thành phố Hồ Chí Minh."
5,00:05:28.040,00:05:48.920,"dịch Covid,Hồ Chí Minh",Chương trình tối nay thứ ba ngày 10/1/2023 sẽ có những nội dung chính sau đây:
6,00:05:48.920,00:05:53.400, ,"Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực thành phố Hồ Chí Minh tổ chức phiên họp lần thứ hai."
7,00:05:53.400,00:05:58.720,"dịch Covid,Hồ Chí Minh",thành phố Hồ Chí Minh luôn sẵn sàng các phương án ứng phó với các biến thể mới của dịch Covid 19
8,00:05:58.720,00:06:05.560,"xe giường,Hồ Chí Minh",thành phố Hồ Chí Minh chính thức cấm xe giường nằm vào nội thành
9,00:06:05.560,00:06:10.200,"Bí thư Thành ủy,đồng chí Nguyễn Thị Lệ,Ủy viên Chính trị,Bí thư Thành ủy Thành phố Hồ Chí Minh,Nguyễn Văn Nên","chiều nay, Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực Thành phố Hồ Chí Minh tổ chức phiên họp lần thứ hai."
10,00:06:10.200,00:06:31.840,"báo cáo kết luận,Đoàn kiểm tra,Cơ quan Thường trực Ban Chỉ đạo,tham nhũng , tiêu cực thành phố Hồ Chí Minh lãnh đạo,thành viên Ban Chỉ đạo,đồng chí Bí thư Thành ủy,thành phố Hồ Chí Minh Nguyễn Văn Ninh kết luận,Phiên họp, tiêu cực Thành phố Hồ Chí Minh,Ban Nội chính Thành ủy,tiêu cực thành phố, tiêu cực thành phố Hồ Chí Minh,đồng chí Tổng Bí thư","Đồng chí Nguyễn Văn Nên, Ủy viên Bộ Chính trị, Bí thư Thành ủy Thành phố Hồ Chí Minh, Trưởng Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực thành phố Hồ Chí Minh chủ trì hội nghị."
11,00:06:31.840,00:06:39.400,"báo cáo kết luận,Đoàn kiểm tra,Cơ quan Thường trực Ban Chỉ đạo,tham nhũng , tiêu cực thành phố Hồ Chí Minh lãnh đạo,thành viên Ban Chỉ đạo,đồng chí Bí thư Thành ủy,thành phố Hồ Chí Minh Nguyễn Văn Ninh kết luận,Phiên họp, tiêu cực Thành phố Hồ Chí Minh,Ban Nội chính Thành ủy,tiêu cực thành phố, tiêu cực thành phố Hồ Chí Minh,đồng chí Tổng Bí thư","Cùng dự có đồng chí Nguyễn Thị Lệ, Phó Bí thư Thành ủy, Chủ tịch Hội đồng nhân dân Thành phố Hồ Chí Minh"
12,00:06:39.400,00:06:43.640,"báo cáo kết luận,Đoàn kiểm tra,Cơ quan Thường trực Ban Chỉ đạo,tham nhũng , tiêu cực thành phố Hồ Chí Minh lãnh đạo,thành viên Ban Chỉ đạo,đồng chí Bí thư Thành ủy,thành phố Hồ Chí Minh Nguyễn Văn Ninh kết luận,Phiên họp, tiêu cực Thành phố Hồ Chí Minh,Ban Nội chính Thành ủy,tiêu cực thành phố, tiêu cực thành phố Hồ Chí Minh,đồng chí Tổng Bí thư","Phiên họp đã đánh giá các kết quả đạt được trong Quý 4/2022, cùng với đó, thông qua nhiều nội dung quan trọng liên quan đến kết quả thực hiện Kết luận, chỉ đạo của đồng chí Tổng Bí thư, Trưởng Ban Chỉ đạo Trung ương về phòng, chống tham nhũng, tiêu cực Kết luận của đồng chí Bí thư Thành ủy, Trưởng Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực Thành phố Hồ Chí Minh tại phiên họp thứ nhất và các cuộc họp của Thường trực Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực thành phố Hồ Chí Minh."
13,00:06:43.640,00:06:49.600,"báo cáo kết luận,Đoàn kiểm tra,Cơ quan Thường trực Ban Chỉ đạo,tham nhũng , tiêu cực thành phố Hồ Chí Minh lãnh đạo,thành viên Ban Chỉ đạo,đồng chí Bí thư Thành ủy,thành phố Hồ Chí Minh Nguyễn Văn Ninh kết luận,Phiên họp, tiêu cực Thành phố Hồ Chí Minh,Ban Nội chính Thành ủy,tiêu cực thành phố, tiêu cực thành phố Hồ Chí Minh,đồng chí Tổng Bí thư","Phiên họp đã đánh giá các kết quả đạt được trong Quý 4/2022, cùng với đó, thông qua nhiều nội dung quan trọng liên quan đến kết quả thực hiện Kết luận, chỉ đạo của đồng chí Tổng Bí thư, Trưởng Ban Chỉ đạo Trung ương về phòng, chống tham nhũng, tiêu cực Kết luận của đồng chí Bí thư Thành ủy, Trưởng Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực Thành phố Hồ Chí Minh tại phiên họp thứ nhất và các cuộc họp của Thường trực Ban Chỉ đạo phòng, chống tham nhũng, tiêu cực thành phố Hồ Chí Minh."
