Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:49:55.000,"thành phố Hồ Chí Minh,quý vị,Trung Quốc,Cục Hải quan thành phố Hồ Chí Minh,Colombia,Cần Thơ,dịp Tết,năm 2022,Venezuela,miền Bắc,R,Ukraine,Nhật Bản,Thủ tướng Kishida,ngày 9/1,Hàn Quốc,Nga,UAV,Nam,Palestine,Tết,Mỹ,tín đồ Chính thống giáo,an sinh xã hội,xương khớp,,hộ gia đình,người Do Thái,Núi Đền,Israel", 
1,00:00:00.000,00:04:45.720, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay chủ nhật ngày 8/1/2023."
2,00:04:45.720,00:04:54.400, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay chủ nhật ngày 8/1/2023."
3,00:04:54.400,00:05:02.360, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay chủ nhật ngày 8/1/2023."
4,00:05:02.360,00:05:24.040,"Hồ Chí Minh tổ chức,Tết",Chương trình ngày hôm nay sẽ có một số nội dung đáng chú ý sau đây:
5,00:05:24.040,00:05:29.440,"ấn tượng năm 2022,thành phố Hồ Chí Minh tăng tốc,đất cho 2 con 2,năm 2023",thành phố Hồ Chí Minh tổ chức nhiều hoạt động ý nghĩa chăm lo Tết cho nhân dân thành phố
6,00:05:29.440,00:05:34.720,"ấn tượng năm 2022,thành phố Hồ Chí Minh tăng tốc,đất cho 2 con 2,năm 2023","thành quả tăng trưởng ấn tượng năm 2022 sẽ tạo động lực mạnh mẽ cho thành phố Hồ Chí Minh tăng tốc trong năm 2023 nên đoàn của 2 0 12 sấtạo cho đã đến đất cho 2 con 2 3 Thứ nhất là tốc độ tăng trường được duy trì, cần có giải pháp kịp thời để giảm áp lực đăng kiểm phương tiện tại thành phố Hồ Chí Minh."
7,00:05:34.720,00:05:39.080,"ấn tượng năm 2022,thành phố Hồ Chí Minh tăng tốc,đất cho 2 con 2,năm 2023","thành quả tăng trưởng ấn tượng năm 2022 sẽ tạo động lực mạnh mẽ cho thành phố Hồ Chí Minh tăng tốc trong năm 2023 nên đoàn của 2 0 12 sấtạo cho đã đến đất cho 2 con 2 3 Thứ nhất là tốc độ tăng trường được duy trì, cần có giải pháp kịp thời để giảm áp lực đăng kiểm phương tiện tại thành phố Hồ Chí Minh."
8,00:05:39.080,00:05:46.400,"ấn tượng năm 2022,thành phố Hồ Chí Minh tăng tốc,đất cho 2 con 2,năm 2023","thành quả tăng trưởng ấn tượng năm 2022 sẽ tạo động lực mạnh mẽ cho thành phố Hồ Chí Minh tăng tốc trong năm 2023 nên đoàn của 2 0 12 sấtạo cho đã đến đất cho 2 con 2 3 Thứ nhất là tốc độ tăng trường được duy trì, cần có giải pháp kịp thời để giảm áp lực đăng kiểm phương tiện tại thành phố Hồ Chí Minh."
9,00:05:46.400,00:05:50.560,"ấn tượng năm 2022,thành phố Hồ Chí Minh tăng tốc,đất cho 2 con 2,năm 2023","thành quả tăng trưởng ấn tượng năm 2022 sẽ tạo động lực mạnh mẽ cho thành phố Hồ Chí Minh tăng tốc trong năm 2023 nên đoàn của 2 0 12 sấtạo cho đã đến đất cho 2 con 2 3 Thứ nhất là tốc độ tăng trường được duy trì, cần có giải pháp kịp thời để giảm áp lực đăng kiểm phương tiện tại thành phố Hồ Chí Minh."
10,00:05:50.560,00:06:20.680,"An,em Hoàng Huynh,Chủ tịch Hội,Chương trình Dân Chính quyền,chủ đề Xuân 2023,độ xuân,Phó Chủ Tịch Hội Đồng Nhân Dân,chương trình văn nghệ,đồng chí lãnh đạo,món quà,nguyên Ủy viên Chính trị,Quý Mão,nhân dân thành phố,thành phố Hồ Chí Minh nhấn mạnh,Nguyễn Thị Bích Ngọc,Kính thưa quý vị,mục tiêu hàng đầu,mùa xuân,000 khuyết tật,quý vị,thành phố Hồ Chí Minh,an sinh xã hội,thành Phố Hồ Chí Minh Nguyễn Văn Dũng,tháng 1/2023,đối tượng yếu thế,Trung ương Đảng,1600 phần quà Tết,dịp Tết,tổng kinh phí,chương trình mùa xuân,Chi Hội Mái Ấm Thiên Ân,chặng đường,Đồng chí Nguyễn Văn Hiếu,Chính phủ Trương Hòa Bình,quà tết","thưa quý vị, thành phố Hồ Chí Minh hiện có khoảng trên 60.000 người khuyết tật và trẻ mồ côi."
11,00:06:20.680,00:06:25.720,"Phó Chủ Tịch Hội Đồng Nhân Dân,Quý Mão,Nguyễn Thị Bích Ngọc,tổng kinh phí,Chi Hội Mái Ấm Thiên Ân,chặng đường,An,em Hoàng Huynh,Chủ tịch Hội,Chương trình Dân Chính quyền,chương trình văn nghệ,đồng chí lãnh đạo,món quà,nhân dân thành phố,thành phố Hồ Chí Minh nhấn mạnh,Kính thưa quý vị,mục tiêu hàng đầu,mùa xuân,quý vị,thành phố Hồ Chí Minh,an sinh xã hội,thành Phố Hồ Chí Minh Nguyễn Văn Dũng,tháng 1/2023,đối tượng yếu thế,1600 phần quà Tết,dịp Tết,chủ đề Xuân 2023,quà tết","Để góp phần bảo trợ, chăm lo cho người khuyết tật và trẻ mồ côi mỗi độ xuân về, Hội Bảo trợ người khuyết tật và trẻ mồ côi đã tổ chức chương trình Cây mùa xuân thắp sáng lòng nhân ái lần thứ 22."
12,00:06:25.720,00:06:30.960,"Phó Chủ Tịch Hội Đồng Nhân Dân,Quý Mão,Nguyễn Thị Bích Ngọc,tổng kinh phí,Chi Hội Mái Ấm Thiên Ân,chặng đường,An,em Hoàng Huynh,Chủ tịch Hội,Chương trình Dân Chính quyền,chương trình văn nghệ,đồng chí lãnh đạo,món quà,nhân dân thành phố,thành phố Hồ Chí Minh nhấn mạnh,Kính thưa quý vị,mục tiêu hàng đầu,mùa xuân,quý vị,thành phố Hồ Chí Minh,an sinh xã hội,thành Phố Hồ Chí Minh Nguyễn Văn Dũng,tháng 1/2023,đối tượng yếu thế,1600 phần quà Tết,dịp Tết,chủ đề Xuân 2023,quà tết","Đến dự có nguyên Ủy viên Bộ Chính trị, nguyên Phó Thủ tướng Thường trực Chính phủ Trương Hòa Bình, Đồng chí Nguyễn Văn Hiếu, Ủy viên dự khuyết Trung ương Đảng, Phó Bí thư Thành ủy Thành phố Hồ Chí Minh"
13,00:06:30.960,00:06:36.400,"Phó Chủ Tịch Hội Đồng Nhân Dân,Quý Mão,Nguyễn Thị Bích Ngọc,tổng kinh phí,Chi Hội Mái Ấm Thiên Ân,chặng đường,An,em Hoàng Huynh,Chủ tịch Hội,Chương trình Dân Chính quyền,chương trình văn nghệ,đồng chí lãnh đạo,món quà,nhân dân thành phố,thành phố Hồ Chí Minh nhấn mạnh,Kính thưa quý vị,mục tiêu hàng đầu,mùa xuân,quý vị,thành phố Hồ Chí Minh,an sinh xã hội,thành Phố Hồ Chí Minh Nguyễn Văn Dũng,tháng 1/2023,đối tượng yếu thế,1600 phần quà Tết,dịp Tết,chủ đề Xuân 2023,quà tết","có mặt từ rất sớm, em Hoàng Huynh ở Chi Hội Mái Ấm Thiên Ân cùng các bạn háo hức khi được thưởng thức các chương trình văn nghệ hấp dẫn và nhận những phần quà Tết đầy ắp nghĩa tình."
14,00:06:36.400,00:06:41.440,"Phó Chủ Tịch Hội Đồng Nhân Dân,Quý Mão,Nguyễn Thị Bích Ngọc,tổng kinh phí,Chi Hội Mái Ấm Thiên Ân,chặng đường,An,em Hoàng Huynh,Chủ tịch Hội,Chương trình Dân Chính quyền,chương trình văn nghệ,đồng chí lãnh đạo,món quà,nhân dân thành phố,thành phố Hồ Chí Minh nhấn mạnh,Kính thưa quý vị,mục tiêu hàng đầu,mùa xuân,quý vị,thành phố Hồ Chí Minh,an sinh xã hội,thành Phố Hồ Chí Minh Nguyễn Văn Dũng,tháng 1/2023,đối tượng yếu thế,1600 phần quà Tết,dịp Tết,chủ đề Xuân 2023,quà tết","có mặt từ rất sớm, em Hoàng Huynh ở Chi Hội Mái Ấm Thiên Ân cùng các bạn háo hức khi được thưởng thức các chương trình văn nghệ hấp dẫn và nhận những phần quà Tết đầy ắp nghĩa tình."
