Scene number,Start,End,Keywords,Description
0,00:00:00.000,00:53:40.000,"thành phố Hồ Chí Minh,Trung Quốc,kinh tế trọng điểm phía Nam,Mỹ,quý vị,Covid,Xuân Mậu Thân 1968,thành phố Thủ Đức,kinh tế xã hội,bờ biển,phố đồ,lễ hội Tết Việt,địa bàn thành phố Hồ Chí Minh quận Phú Nhuận,đặc khu hành chính Hongkong,Triều Tiên,California,Lãnh sự quán Mỹ,La Habana,hộ dân,cơ quan công an,bữa cơm gia đình,Xuân Mậu Thân,,thẻ tín dụng,xương khớp,Lễ hội Tết Việt Quý Mão 2023,ngành giáo dục thành phố Hồ Chí Minh,Tổ quốc Việt Nam thành phố Hồ Chí Minh,đúp LVHO,Thành ủy thành phố Hồ Chí Minh", 
1,00:00:00.000,00:01:44.120, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ 5 ngày 5/1/2023."
2,00:01:44.120,00:01:48.600, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ 5 ngày 5/1/2023."
3,00:01:48.600,00:01:55.040, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ 5 ngày 5/1/2023."
4,00:01:55.040,00:02:03.000, ,"xin kính chào quý vị, kính mời quý vị theo dõi chương trình thời sự buổi tối của Đài truyền hình thành phố Hồ Chí Minh hôm nay thứ 5 ngày 5/1/2023."
5,00:02:03.000,00:02:23.640,"chủ đề Xuân đoàn kết,Hồ Chí Minh khai mạc,Tết Quý Mão",Chương trình ngày hôm nay sẽ có một số nội dung đáng chú ý sau đây:
6,00:02:23.640,00:02:28.760, ,khai mạc kỳ họp bất thường lần thứ hai Quốc hội khóa 15 với nhiều nội dung quan trọng
7,00:02:28.760,00:02:33.000, ,"thành phố Hồ Chí Minh khai mạc các hoạt động chăm lo Tết Quý Mão năm 2023 với chủ đề Xuân đoàn kết, Tết nghĩa tình."
8,00:02:33.000,00:02:37.840,"chủ đề Xuân đoàn kết,Hồ Chí Minh khai mạc,Tết Quý Mão","thành phố Hồ Chí Minh khai mạc các hoạt động chăm lo Tết Quý Mão năm 2023 với chủ đề Xuân đoàn kết, Tết nghĩa tình."
9,00:02:37.840,00:02:42.040,kinh tế trọng điểm phía Nam,"nhiều đề xuất, hiến kế để phát triển bền vững vùng kinh tế trọng điểm phía Nam với hạt nhân là thành phố Hồ Chí Minh"
